external_gene_name	description	ensembl_gene_id	chromosome_name	start_position	end_position	strand	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
DMKN	dermokine [Source:HGNC Symbol;Acc:HGNC:25063]	ENSG00000161249	19	35497220	35513658	-1	601.764306722837	-0.9656734694146385	0.10198773849425456	-9.468525174416328	2.8382253877212805e-21	7.817040362861951e-17
CPA4	carboxypeptidase A4 [Source:HGNC Symbol;Acc:HGNC:15740]	ENSG00000128510	7	130293134	130324180	1	3767.359864385403	-1.0663418584219886	0.11640546592188553	-9.160582365930846	5.161799313201825e-20	7.108313834210233e-16
SVEP1	sushi, von Willebrand factor type A, EGF and pentraxin domain containing 1 [Source:HGNC Symbol;Acc:HGNC:15985]	ENSG00000165124	9	110365251	110579880	-1	6800.327045852587	-0.7838832388351248	0.08756088355517594	-8.952436373499655	3.4772131143666715e-19	3.1923134531962287e-15
CACNA1D	calcium voltage-gated channel subunit alpha1 D [Source:HGNC Symbol;Acc:HGNC:1391]	ENSG00000157388	3	53328963	53813733	1	1533.9803971866381	-1.054342430149746	0.12015164370537723	-8.775097848308173	1.7075532942038915e-18	1.1757358207240895e-14
COL1A2	collagen type I alpha 2 chain [Source:HGNC Symbol;Acc:HGNC:2198]	ENSG00000164692	7	94394561	94431232	1	2485.6854106257247	-0.9144182770048823	0.11683095739233322	-7.826849128130906	5.002488065282191e-15	2.7555705258800417e-11
CFB	complement factor B [Source:HGNC Symbol;Acc:HGNC:1037]	ENSG00000204359	CHR_HSCHR6_MHC_MANN_CTG1	31985034	31990148	1	1274.2613382748327	-1.044218422663715	0.14999645509400586	-6.961620673030452	3.3638024045452165e-12	1.5440974304330723e-8
ALPI	alkaline phosphatase, intestinal [Source:HGNC Symbol;Acc:HGNC:437]	ENSG00000163295	2	232456123	232460032	1	3375.6126072367747	-1.689480846166503	0.2436521904708719	-6.933985871013447	4.091455355861443e-12	1.609812334444798e-8
ITGB8	integrin subunit beta 8 [Source:HGNC Symbol;Acc:HGNC:6163]	ENSG00000105855	7	20330702	20415754	1	6543.468376422708	-0.4744107779690443	0.06914075848467495	-6.861521168793621	6.8131105602401e-12	2.3455836381266605e-8
EPHA3	EPH receptor A3 [Source:HGNC Symbol;Acc:HGNC:3387]	ENSG00000044524	3	89107524	89482134	1	77.85783094042812	1.530030192460741	0.22914280881299	6.677190527543207	2.4356621819947013e-11	7.453667535166451e-8
CFB	complement factor B [Source:HGNC Symbol;Acc:HGNC:1037]	ENSG00000241534	CHR_HSCHR6_MHC_DBB_CTG1	31927837	31934271	1	306.2651704449569	-1.0911214248705947	0.16718293824985686	-6.526511833641187	6.731900051413433e-11	1.8540999121602875e-7
